n_sample,score_mean,score_std
1000,0.24880808880593558,0.03789193700110072
2000,0.22820655574606702,0.024597890711827504
3000,0.22168120813613618,0.012754398204367174
4000,0.22464507906532577,0.00850263745750743
5000,0.22319661822291553,0.007830934289629282
6000,0.22489478443332755,0.005967088604846579
7000,0.22462427359330625,0.003605278258357928
8000,0.22287608540303988,0.005108733806477408
9000,0.22415564444690483,0.0055369822124979075
10000,0.22330543279452386,0.0061747322719336185
11000,0.22411716289485564,0.006425744664795088
12000,0.2248589048439892,0.005299080642996739
13000,0.2236864439338393,0.00673337291572312
14000,0.2235112109286801,0.004988639782871408
15000,0.22455072585230673,0.004708254663928734
16000,0.22323935831301606,0.0044919228400125254
17000,0.22217785884437896,0.006114863126288544
18000,0.2210485002408152,0.0045002959354446285
19000,0.22118322441864474,0.004913525312409778
20000,0.21976916627794546,0.0041002202877677306
21000,0.21879794473534714,0.0047925960767847935
22000,0.2188859807694712,0.005236387585367647
23000,0.21896173302005567,0.004692871500572548
24000,0.21834105456633282,0.005411314971730858
25000,0.2181183658725189,0.005997037409116722
26000,0.21775943418501686,0.005368084231249431
27000,0.21787025684867783,0.005015843431326044
28000,0.2181464069436978,0.0040659739677093125
29000,0.21794230675244086,0.004598264202410002
30000,0.21750756346123365,0.005419922410422929
31000,0.21797859414207124,0.005965527750346394
32000,0.21798565919942003,0.0054769269998732485
33000,0.21753688213018813,0.004612561445307373
34000,0.21820589925715414,0.00426289702724853
35000,0.21776248631347067,0.00472984923675881
