n_sample,score_mean,score_std
1000,1.0384065642309142,0.06784359726062648
2000,1.008368560298534,0.08998903461320387
3000,1.0286198044764872,0.08525934237360762
4000,0.9832474680815559,0.07462762925905476
5000,0.9929700113778124,0.037421840346029474
6000,0.9679130601966556,0.05300463220825886
7000,0.9882940598843801,0.04452262511802243
8000,0.9773712438675686,0.02611056502016886
9000,0.9743533131156499,0.042645596757373304
10000,0.9864514667525854,0.037516498553083304
11000,0.9734018538818734,0.02297747616107301
12000,0.9749992744351476,0.036924412528332645
13000,0.9689418942153797,0.03581980138012
14000,0.9780274300883077,0.020250014914843073
15000,0.9681390255206068,0.02581813741558686
16000,0.9778086085575349,0.026924049773581628
17000,0.9828979280941523,0.016673659069526874
18000,0.9709492958742342,0.03354725451752232
19000,0.976815644769282,0.02104845193441452
20000,0.9639462961464884,0.03335465621751997
21000,0.9702317268296123,0.03363530876229389
22000,0.9677591830979557,0.029000125043697863
23000,0.9712966451136514,0.022382274225003974
24000,0.9784858031253505,0.022087551552108776
25000,0.9736508595385278,0.019520639306991088
26000,0.9821915473478517,0.017936027363632753
27000,0.969919400635266,0.028957101462169572
28000,0.9697447730673747,0.022091099845485178
29000,0.9690752707113752,0.01849399871614182
30000,0.9814082170168057,0.017368279872590577
31000,0.9712706204398378,0.017260890534582643
32000,0.969109202069153,0.01784648404631858
33000,0.972776737110771,0.022303217922143865
34000,0.9715887154907241,0.018632798853911583
35000,0.9712234622353029,0.01692344041950327
