pc1,pc2,Booking ID,Customer ID
-34.6743515096816,0.5164130073979478,"""CNR5884300""","""CID1982111"""
-72.94592047135119,1.0610764140151627,"""CNR1326809""","""CID4604802"""
7.533230863822663,1.294595380560224,"""CNR8494506""","""CID9202816"""
41.193554806557046,58.27537746269747,"""CNR8906825""","""CID2610914"""
36.233252343738464,32.593866831754085,"""CNR1950162""","""CID9933542"""
81.4428984516566,34.09469212122602,"""CNR4096693""","""CID4670564"""
-45.99294979601661,-76.61585814474225,"""CNR2002539""","""CID6800553"""
-37.568928546609605,46.079914034376166,"""CNR6568000""","""CID8610436"""
-8.215939573777268,-33.61530718088966,"""CNR4510807""","""CID7873618"""
-87.45328552386673,46.34328087688851,"""CNR7721892""","""CID5214275"""
-92.54161747712547,3.995563444545035,"""CNR9070334""","""CID6680340"""
-116.73630598354181,28.901404088402742,"""CNR9551927""","""CID7568143"""
-31.914474741815823,-13.135871602997016,"""CNR4386945""","""CID5543520"""
-28.30511354445732,38.940684671406785,"""CNR2987763""","""CID2669710"""
-28.184696845993415,42.565962754932265,"""CNR8962232""","""CID1789354"""
14.259190021299071,18.61223484124232,"""CNR2390352""","""CID5432215"""
28.370498871672385,16.92348008215755,"""CNR3221338""","""CID2581698"""
-98.25543538451872,-2.008684426289918,"""CNR6739317""","""CID8682675"""
-34.43832866146058,76.52236822402695,"""CNR6126048""","""CID1060329"""
-6.223513497411953,-57.23805631036787,"""CNR9465840""","""CID9046501"""
-30.535744113629004,-26.481440152435873,"""CNR9843229""","""CID4929303"""
1.1506774024426325,80.2014265737965,"""CNR7911434""","""CID8465004"""
-78.51491464080517,-14.332275959128214,"""CNR6178330""","""CID7719678"""
-5.761750310831406,-35.60945994605339,"""CNR5309981""","""CID3870048"""
-31.87381464906939,78.15900287934814,"""CNR2978950""","""CID2977484"""
-60.06965855343794,45.990546130027475,"""CNR2806943""","""CID7550481"""
78.2491059017676,-12.973002267271688,"""CNR3614535""","""CID2507102"""
-39.04930796743393,-35.45395870770838,"""CNR4499383""","""CID5717521"""
-88.2556632125015,23.31701498841325,"""CNR9834201""","""CID7891331"""
45.513461288728266,25.458685611278593,"""CNR8779845""","""CID7444351"""
