pc1,pc2,cluster,Booking ID,Customer ID
-34.674380074920606,0.5164196205639933,3,"""CNR5884300""","""CID1982111"""
-72.94580930531582,1.0611075675057482,3,"""CNR1326809""","""CID4604802"""
7.533122699989557,1.2945433399300827,4,"""CNR8494506""","""CID9202816"""
41.19352545823276,58.27535417002349,1,"""CNR8906825""","""CID2610914"""
36.23319175104259,32.59387110354411,1,"""CNR1950162""","""CID9933542"""
81.44295398270592,34.09471908418652,2,"""CNR4096693""","""CID4670564"""
-45.993059425082045,-76.61590761173385,0,"""CNR2002539""","""CID6800553"""
-37.56886368625439,46.079935784400384,3,"""CNR6568000""","""CID8610436"""
-8.216051138723248,-33.61534719686986,0,"""CNR4510807""","""CID7873618"""
-87.45313010221864,46.343300800905496,3,"""CNR7721892""","""CID5214275"""
-92.54177236139404,3.9955405802162574,3,"""CNR9070334""","""CID6680340"""
-116.73638416322152,28.901411504790385,3,"""CNR9551927""","""CID7568143"""
-31.914659448494437,-13.135910007678909,4,"""CNR4386945""","""CID5543520"""
-28.305243505785246,38.940700194208425,3,"""CNR2987763""","""CID2669710"""
-28.18473470098651,42.56591996573827,3,"""CNR8962232""","""CID1789354"""
14.259089422848179,18.61224031445436,4,"""CNR2390352""","""CID5432215"""
28.370345277503258,16.923414334190703,4,"""CNR3221338""","""CID2581698"""
-98.25525832003079,-2.0086571912830484,3,"""CNR6739317""","""CID8682675"""
-34.43828667800821,76.52236035618982,1,"""CNR6126048""","""CID1060329"""
-6.223558741367186,-57.23809958411423,0,"""CNR9465840""","""CID9046501"""
-30.53552717444108,-26.481368739363184,4,"""CNR9843229""","""CID4929303"""
1.1504932932800196,80.2013780897536,1,"""CNR7911434""","""CID8465004"""
-78.51493781245016,-14.332245846284215,3,"""CNR6178330""","""CID7719678"""
-5.761588979551906,-35.60937477344814,0,"""CNR5309981""","""CID3870048"""
-31.87389819595787,78.1589687952398,1,"""CNR2978950""","""CID2977484"""
-60.06972546403702,45.99050537706044,3,"""CNR2806943""","""CID7550481"""
78.2491644925525,-12.973018083525,2,"""CNR3614535""","""CID2507102"""
-39.049256023817335,-35.45392346887396,0,"""CNR4499383""","""CID5717521"""
-88.25561345621526,23.31701705600414,3,"""CNR9834201""","""CID7891331"""
45.5134653083089,25.458677409274344,2,"""CNR8779845""","""CID7444351"""
11.028876541664895,-93.6706523766592,0,"""CNR2178654""","""CID3631860"""
9.421648959291227,-38.98669898626527,0,"""CNR3871541""","""CID9849259"""
58.0751026340974,16.86439641047125,2,"""CNR2877692""","""CID5901711"""
-30.196955829049813,-90.2638316244346,0,"""CNR9603633""","""CID5856503"""
-41.80409776102539,30.35223259592397,3,"""CNR8087051""","""CID9716528"""
-16.1203737700109,-13.749426861701625,4,"""CNR7823292""","""CID9377721"""
-4.535163737167433,-30.08806941516779,4,"""CNR9918895""","""CID9520433"""
53.644803770119346,29.443629106265636,2,"""CNR7401001""","""CID9958715"""
-61.058756436227064,-13.899983787235074,3,"""CNR2631310""","""CID4355670"""
23.302342129817568,-77.56512674965855,0,"""CNR4218487""","""CID3037053"""
39.805000906016424,97.68772563350284,1,"""CNR5333099""","""CID5112050"""
-78.39336391847395,-33.225777800364526,3,"""CNR5969954""","""CID5558118"""
12.48484072166079,-77.33683299212764,0,"""CNR4130953""","""CID3196782"""
49.609802820665585,-53.71562579346835,2,"""CNR6693125""","""CID7364449"""
-47.23282246606159,-56.069609248263625,0,"""CNR9572979""","""CID3474992"""
-54.15045201868136,62.795259893238935,3,"""CNR6444364""","""CID8262635"""
-96.33838635552003,35.95506547828761,3,"""CNR4862806""","""CID7875150"""
55.520681109270114,15.23373174713144,2,"""CNR4674790""","""CID4795905"""
55.520676589252105,15.23369622225521,2,"""CNR6866217""","""CID7798304"""
56.63146668901191,52.68768354580245,1,"""CNR4932611""","""CID8795963"""
-72.55960074103986,32.11864818022921,3,"""CNR1572483""","""CID6059557"""
-19.806260118439067,31.30778620217847,4,"""CNR6945858""","""CID9079088"""
32.420799686373876,-13.687569195172898,4,"""CNR6584679""","""CID4738537"""
32.684689689146374,-28.93348559095134,2,"""CNR6125653""","""CID2808212"""
30.754527238310608,102.59279414506057,1,"""CNR6092529""","""CID5040634"""
-33.21937657620873,-22.26276034819121,4,"""CNR6339107""","""CID7358763"""
-46.48098691642499,58.19319610020268,3,"""CNR1349015""","""CID9386278"""
40.72462807924778,88.78703322144344,1,"""CNR9773309""","""CID9965847"""
9.662470796138331,-28.167210841583294,4,"""CNR2107544""","""CID1266188"""
28.59678454647181,-37.45380031164693,2,"""CNR4171959""","""CID8470723"""
-108.91266541361436,31.50892431826336,3,"""CNR5316307""","""CID1816553"""
96.49097999329801,-41.6603656956746,2,"""CNR3635865""","""CID6477355"""
-5.910545240953046,35.41061537852934,4,"""CNR2497989""","""CID5007066"""
-41.25637384453044,-48.710612752125655,0,"""CNR8946337""","""CID6438326"""
41.064177844355484,77.15524209668558,1,"""CNR3740694""","""CID5885514"""
30.520226396708207,52.66337396300227,1,"""CNR4660896""","""CID5486947"""
84.35866066134754,27.66011665505397,2,"""CNR2513330""","""CID7805280"""
-65.1760722645888,-52.07923103916909,0,"""CNR9252424""","""CID9413620"""
98.46972051879085,-0.10906955205983547,2,"""CNR3096031""","""CID3101926"""
-55.89039876066944,-59.20165944467503,0,"""CNR4141159""","""CID6810411"""
-1.4612271400358894,-16.279440246613735,4,"""CNR6757829""","""CID8433663"""
-17.339653119471524,19.8422645229512,4,"""CNR6204326""","""CID9419495"""
60.65761557493058,-4.017446396929529,2,"""CNR3347993""","""CID4871438"""
56.094709603032015,1.376593274978066,2,"""CNR6796311""","""CID1880505"""
-12.29443309695073,-29.099500239319962,4,"""CNR3908312""","""CID8787746"""
90.82006145732306,-34.601782355889036,2,"""CNR9416323""","""CID1025742"""
-12.711233739359642,-63.73077059855204,0,"""CNR2912296""","""CID8094609"""
-44.12102574634569,-51.7187854523291,0,"""CNR4611314""","""CID6968311"""
-56.76362192793942,-7.611516747913179,3,"""CNR2601752""","""CID9283370"""
95.47812169091209,2.728772992021989,2,"""CNR5793527""","""CID5705499"""
-29.897025941849368,54.521069234423535,1,"""CNR4487090""","""CID1210782"""
78.45145845298681,10.859317067862497,2,"""CNR5266935""","""CID2831708"""
-16.26577244063645,5.116425343049287,4,"""CNR1487489""","""CID3403699"""
-23.682109398754648,-109.8240612324952,0,"""CNR6351034""","""CID2038230"""
6.270878877212691,44.34357524363343,1,"""CNR7600870""","""CID7289498"""
-46.490349575319165,-59.15222955887674,0,"""CNR5444321""","""CID3326946"""
29.36713803103792,11.63140063316756,4,"""CNR8509610""","""CID8227993"""
-27.47052794474593,-64.82964952964329,0,"""CNR6851549""","""CID9560489"""
51.61459414627153,79.12644604858089,1,"""CNR3318044""","""CID4051792"""
-26.721164250264955,6.761003416574018,4,"""CNR6453539""","""CID6999817"""
66.71383626373985,-45.20380121002732,2,"""CNR7449144""","""CID8609350"""
34.04156842647469,-68.3623724497726,0,"""CNR1970319""","""CID6085619"""
-4.765666625976649,-66.98074560172502,0,"""CNR4415815""","""CID8351180"""
75.46701529582589,39.77641290886109,2,"""CNR3899082""","""CID5467225"""
31.17598008353026,68.48914771452928,1,"""CNR3274519""","""CID3829804"""
-16.031596100517756,81.12209245592412,1,"""CNR3263958""","""CID3231090"""
-31.986859094721513,48.45054299324234,3,"""CNR5822542""","""CID1628370"""
58.995904067562016,47.07578901277303,1,"""CNR9652983""","""CID4773175"""
13.976067275936034,95.47595172597252,1,"""CNR2598306""","""CID5704025"""
64.28157463804641,8.960080486621157,2,"""CNR3274827""","""CID3134967"""
-14.57515077547711,58.34369983022534,1,"""CNR9139265""","""CID4003339"""
-77.62346573675742,2.823288706522304,3,"""CNR8036415""","""CID9244184"""
-23.070748817313987,23.31284701984959,4,"""CNR8433849""","""CID7659765"""
3.6681413540277483,-100.72070362951695,0,"""CNR2948784""","""CID7747807"""
-42.004918968558464,58.674859933097245,3,"""CNR1996806""","""CID2293483"""
43.406891488688494,71.53063127821379,1,"""CNR6241612""","""CID5715130"""
29.791241675974966,94.8733248738714,1,"""CNR5222120""","""CID2370613"""
-22.449722504380908,-78.22780578360462,0,"""CNR6596872""","""CID2589193"""
-37.58138440106114,-97.33915074813376,0,"""CNR7149058""","""CID7341591"""
3.6680379542635797,-100.7220859852569,0,"""CNR5726463""","""CID3407189"""
19.472004399918298,-10.074265253944352,4,"""CNR3975551""","""CID2944423"""
-77.26122053014899,30.312810726955558,3,"""CNR8637930""","""CID8137475"""
13.64483654915658,-10.221576699613124,4,"""CNR9935095""","""CID7359331"""
-0.8469813457499303,64.70652416104352,1,"""CNR8893726""","""CID8335294"""
25.876067079609218,28.37304187618638,4,"""CNR3975051""","""CID5797043"""
