tsne1,tsne2,Booking ID,Customer ID
31.705732,-22.55867,"""CNR1593536""","""CID5636729"""
70.37318,0.54928446,"""CNR4474614""","""CID5333560"""
54.05519,-19.485077,"""CNR1277670""","""CID4124347"""
89.46646,21.056417,"""CNR1399358""","""CID1493994"""
94.59119,-11.465308,"""CNR3165955""","""CID5703465"""
83.75809,-14.35031,"""CNR9540782""","""CID6838704"""
33.470314,-14.977987,"""CNR7131984""","""CID7611801"""
74.803154,19.06324,"""CNR8597555""","""CID7363196"""
40.637264,12.165409,"""CNR7508794""","""CID6881596"""
109.76194,4.327231,"""CNR6538741""","""CID9589979"""
88.23305,-30.65964,"""CNR7697860""","""CID2471578"""
53.17063,-47.516727,"""CNR4123510""","""CID4315013"""
62.796043,-10.221982,"""CNR1975085""","""CID2037619"""
59.22678,20.265083,"""CNR3819490""","""CID2083871"""
56.13778,-59.257744,"""CNR5789889""","""CID2239010"""
78.61695,-16.430733,"""CNR8632153""","""CID1104637"""
92.10568,9.053754,"""CNR9598947""","""CID8809748"""
70.23803,20.827534,"""CNR6018632""","""CID7334317"""
75.7263,10.793113,"""CNR2739535""","""CID6831445"""
91.40704,-1.9857192,"""CNR8660378""","""CID4870952"""
96.06335,8.590641,"""CNR8700326""","""CID2654134"""
72.15768,4.3375754,"""CNR6919248""","""CID4566130"""
85.68979,-18.907328,"""CNR1577848""","""CID7803241"""
47.22419,43.113728,"""CNR4118479""","""CID1043783"""
79.08566,26.092503,"""CNR3169589""","""CID3817196"""
35.5421,-25.578726,"""CNR7894759""","""CID3377412"""
50.175907,6.5833883,"""CNR3550622""","""CID6121989"""
65.941284,-23.262234,"""CNR3511106""","""CID7067302"""
66.07597,46.22468,"""CNR4519978""","""CID4340257"""
68.07382,-27.94053,"""CNR4919792""","""CID4572807"""
65.13304,-11.538133,"""CNR2051088""","""CID1596717"""
79.84663,18.281347,"""CNR1400929""","""CID7341843"""
54.01162,-51.627186,"""CNR5903492""","""CID6672308"""
74.2835,5.346913,"""CNR5249291""","""CID1918336"""
58.054157,-9.359897,"""CNR7033765""","""CID2173076"""
81.00119,-28.233347,"""CNR9865937""","""CID1315512"""
88.100655,22.775156,"""CNR1832261""","""CID7649519"""
85.234604,7.920235,"""CNR6913629""","""CID6255924"""
78.73506,-29.371056,"""CNR8861395""","""CID6304710"""
85.965385,-4.2494097,"""CNR4861690""","""CID6551973"""
99.62032,15.632886,"""CNR5160801""","""CID1186415"""
101.17986,-1.5132679,"""CNR8934439""","""CID9932466"""
51.51781,-40.44465,"""CNR9003015""","""CID7945964"""
67.74074,-26.731253,"""CNR9454266""","""CID3160590"""
79.03916,38.78674,"""CNR6136131""","""CID2913521"""
64.53711,-10.492126,"""CNR6976044""","""CID1900212"""
50.430595,-15.695033,"""CNR8091120""","""CID1386138"""
50.121895,30.407995,"""CNR8027220""","""CID3634457"""
35.923817,-26.48446,"""CNR5558737""","""CID2500111"""
94.64844,13.769436,"""CNR2445258""","""CID7366940"""
54.787952,-19.108711,"""CNR4800969""","""CID8213003"""
68.128624,-38.41113,"""CNR5737930""","""CID7033194"""
59.632023,-27.529568,"""CNR5189408""","""CID4692729"""
63.320797,8.025342,"""CNR4483585""","""CID6230205"""
45.758324,35.516933,"""CNR7044434""","""CID5480788"""
38.25155,-28.759596,"""CNR6197135""","""CID5014483"""
74.867485,-11.969624,"""CNR3552945""","""CID8763565"""
73.50912,-37.51804,"""CNR1760506""","""CID1935878"""
62.197712,-7.4983726,"""CNR1189804""","""CID8319460"""
44.798264,-3.8139577,"""CNR7673392""","""CID4879435"""
39.696953,-47.86848,"""CNR7267371""","""CID6861941"""
78.44771,-5.7273374,"""CNR2400489""","""CID5271388"""
48.865074,-48.269695,"""CNR9132207""","""CID7953716"""
45.666286,35.306286,"""CNR8982958""","""CID9805217"""
29.432579,-45.037678,"""CNR8810591""","""CID7201190"""
64.2638,28.243776,"""CNR7448664""","""CID4833252"""
101.748055,11.690699,"""CNR8720626""","""CID6051818"""
61.52002,-7.818639,"""CNR3377994""","""CID9572340"""
82.52532,-31.609844,"""CNR5445263""","""CID5321442"""
93.23274,19.330717,"""CNR5672398""","""CID9756059"""
73.84526,-42.49263,"""CNR7784339""","""CID6312299"""
55.790295,-55.33884,"""CNR2491169""","""CID4816332"""
45.570667,3.1837146,"""CNR3599918""","""CID7420120"""
81.04096,8.433661,"""CNR9049288""","""CID3210705"""
65.29822,-11.115591,"""CNR9549199""","""CID3061035"""
61.795208,-53.06654,"""CNR1002681""","""CID7535173"""
49.197735,29.3733,"""CNR3800929""","""CID1790785"""
32.109703,-50.55052,"""CNR3262478""","""CID9018668"""
78.61877,38.853928,"""CNR4875346""","""CID3999347"""
91.75057,-13.653349,"""CNR4425615""","""CID6719766"""
66.31319,1.4290676,"""CNR7938698""","""CID3838682"""
71.5127,26.474766,"""CNR8950450""","""CID5478561"""
55.56761,-22.523798,"""CNR9585574""","""CID1900073"""
45.789753,-12.823144,"""CNR6492514""","""CID5352469"""
57.109932,-53.76113,"""CNR7204662""","""CID1757929"""
75.08833,12.428106,"""CNR3161367""","""CID5802109"""
85.51089,5.6127973,"""CNR6837365""","""CID6828526"""
48.11362,-57.260216,"""CNR7327945""","""CID8864973"""
77.74961,34.2215,"""CNR5700275""","""CID4711730"""
64.23229,19.74946,"""CNR7095332""","""CID9131689"""
99.19213,7.451574,"""CNR2381135""","""CID3457659"""
48.981224,-19.120783,"""CNR7300757""","""CID5011107"""
48.642956,6.208592,"""CNR4423961""","""CID5772004"""
62.142067,-12.372297,"""CNR6187716""","""CID1949869"""
87.96991,-29.060808,"""CNR3292171""","""CID4167526"""
82.263115,37.424713,"""CNR5490199""","""CID2329695"""
35.647957,22.67554,"""CNR3521196""","""CID1545336"""
48.084496,42.05353,"""CNR2479822""","""CID6980739"""
53.873833,-53.016582,"""CNR6147935""","""CID7126043"""
104.66186,11.162061,"""CNR5333036""","""CID3956947"""
64.85819,-20.234861,"""CNR2782968""","""CID4310793"""
69.75535,24.807781,"""CNR9449027""","""CID3098266"""
57.467896,19.226528,"""CNR6203688""","""CID1618562"""
61.110687,-52.134453,"""CNR6141592""","""CID6229831"""
39.397358,-32.021618,"""CNR8299072""","""CID8395075"""
59.525215,19.956453,"""CNR6247365""","""CID6612506"""
45.487362,-19.728851,"""CNR9111461""","""CID6321842"""
56.46276,-8.122919,"""CNR8614270""","""CID9086655"""
47.59754,-23.42806,"""CNR9971873""","""CID9882404"""
65.16565,-35.430847,"""CNR3493106""","""CID7572351"""
67.5309,-40.743206,"""CNR7003243""","""CID2717610"""
44.787838,-3.799328,"""CNR2135935""","""CID2861089"""
46.36593,-16.989866,"""CNR5072655""","""CID6449773"""
35.70736,-26.011738,"""CNR8376664""","""CID7530672"""
62.745358,8.109662,"""CNR3956829""","""CID4660942"""
45.674137,-12.91572,"""CNR3676044""","""CID3679520"""
49.36703,-6.1940374,"""CNR4738169""","""CID1211363"""
77.54517,32.520927,"""CNR4613350""","""CID1679081"""
39.078285,7.163721,"""CNR4487370""","""CID4780821"""
83.98699,-24.55203,"""CNR1193180""","""CID6995240"""
79.0951,-29.943325,"""CNR4063924""","""CID3084505"""
83.6849,26.040508,"""CNR2165750""","""CID6047418"""
96.97439,-15.514144,"""CNR4902291""","""CID5705963"""
84.98479,20.024,"""CNR9954933""","""CID5315542"""
67.83357,1.9483633,"""CNR7594036""","""CID3881450"""
52.33574,-53.43829,"""CNR3295815""","""CID6517330"""
75.89442,38.44781,"""CNR5614362""","""CID5731680"""
46.315907,5.7039547,"""CNR1820650""","""CID9335869"""
68.34149,-31.447039,"""CNR8519820""","""CID3568988"""
55.078434,-46.989918,"""CNR9575302""","""CID2352222"""
88.844086,-21.501886,"""CNR7924319""","""CID1951109"""
69.55574,45.90331,"""CNR3573310""","""CID9291122"""
79.31307,-28.564892,"""CNR9106177""","""CID4119815"""
75.144775,-23.86968,"""CNR9253510""","""CID6685367"""
37.752224,23.841524,"""CNR6062974""","""CID5982838"""
85.07883,13.694128,"""CNR1349905""","""CID2387786"""
96.268234,-15.60166,"""CNR5554191""","""CID8748735"""
52.95177,-14.830932,"""CNR4957588""","""CID7606353"""
91.78985,-17.752375,"""CNR8006293""","""CID4484995"""
83.8368,25.322376,"""CNR4269564""","""CID6818044"""
90.93434,0.5455501,"""CNR5940839""","""CID6826483"""
86.61683,-7.012688,"""CNR4367550""","""CID7373605"""
53.26863,-12.424916,"""CNR4892282""","""CID5923157"""
100.39716,5.7771354,"""CNR4955806""","""CID1791551"""
67.544754,-30.477896,"""CNR2450040""","""CID8080282"""
80.24142,-18.61193,"""CNR3458410""","""CID9315557"""
80.91644,8.194118,"""CNR5617124""","""CID7657161"""
48.06405,9.606744,"""CNR8897518""","""CID3770676"""
71.16389,4.3483477,"""CNR3633757""","""CID2129555"""
96.662674,2.7659004,"""CNR4866067""","""CID1396093"""
72.08891,3.070986,"""CNR1574515""","""CID1576260"""
71.58395,-39.717354,"""CNR6613625""","""CID5821192"""
54.058044,-14.453159,"""CNR6115856""","""CID7934261"""
76.240234,37.97027,"""CNR3823197""","""CID5931973"""
88.58645,12.906501,"""CNR3384369""","""CID3790638"""
72.01249,-35.308086,"""CNR9520093""","""CID6217412"""
78.26013,-31.193104,"""CNR6712112""","""CID5316911"""
87.9047,-8.157873,"""CNR9623643""","""CID2040684"""
82.57078,13.264406,"""CNR1644696""","""CID4869472"""
101.48711,-13.230183,"""CNR9699017""","""CID5326562"""
56.918583,-13.448986,"""CNR8903736""","""CID6740951"""
83.82578,25.382364,"""CNR9886505""","""CID1775461"""
64.44534,-32.681007,"""CNR1744875""","""CID2546436"""
52.401394,16.607784,"""CNR4315220""","""CID8483082"""
47.152153,32.491936,"""CNR4070575""","""CID1827926"""
38.761158,-4.5066814,"""CNR5220545""","""CID9267754"""
60.10169,-12.010388,"""CNR4926336""","""CID6595957"""
88.26819,28.66989,"""CNR4097817""","""CID5109623"""
79.72455,27.49693,"""CNR5297443""","""CID9820703"""
52.78708,-2.9304109,"""CNR4230455""","""CID2608552"""
67.4615,33.08093,"""CNR6682693""","""CID7712347"""
70.675575,40.689545,"""CNR5992750""","""CID1859897"""
69.4626,4.840497,"""CNR9835984""","""CID9964638"""
75.018074,-36.03881,"""CNR6684104""","""CID5972419"""
70.42659,25.211338,"""CNR1193644""","""CID8721628"""
101.50774,-1.2179226,"""CNR6018050""","""CID8860512"""
84.36648,-12.836119,"""CNR2210600""","""CID6537960"""
52.272232,-45.40949,"""CNR7888833""","""CID8636241"""
60.10138,-34.95773,"""CNR7363314""","""CID6134178"""
63.283916,8.132886,"""CNR8699765""","""CID1211515"""
76.14765,-0.56112474,"""CNR5081331""","""CID8185989"""
49.776627,-37.44898,"""CNR7063523""","""CID7905743"""
90.1574,4.7965956,"""CNR1025229""","""CID7443333"""
95.59961,-12.842,"""CNR1838908""","""CID8358003"""
38.234573,-45.97941,"""CNR1503501""","""CID7619910"""
77.549515,2.8327432,"""CNR3527332""","""CID1622030"""
76.37198,-17.664925,"""CNR3976342""","""CID1419148"""
47.321106,0.82263803,"""CNR2365543""","""CID8788137"""
63.869473,20.553167,"""CNR3450330""","""CID1084915"""
82.04311,14.722659,"""CNR8195279""","""CID5264764"""
92.06654,12.781383,"""CNR1987632""","""CID8129254"""
103.04756,9.379596,"""CNR9210280""","""CID4858104"""
55.66714,-5.736486,"""CNR4342581""","""CID7479587"""
105.8192,1.5088081,"""CNR5792648""","""CID9578745"""
81.340225,22.778131,"""CNR3930785""","""CID8931836"""
59.28422,-34.52148,"""CNR6302633""","""CID7529673"""
60.158604,23.386719,"""CNR5006106""","""CID9559733"""
47.12074,38.34132,"""CNR7685243""","""CID6249620"""
56.30285,-9.360904,"""CNR9977770""","""CID1188636"""
45.923428,1.3364241,"""CNR3843740""","""CID7765065"""
52.8625,-53.021698,"""CNR6176708""","""CID4166509"""
46.594177,15.790417,"""CNR7872727""","""CID4110236"""
107.15094,2.7092721,"""CNR6566403""","""CID6198422"""
79.65834,-29.477419,"""CNR1806897""","""CID9706817"""
74.2117,37.18077,"""CNR8279041""","""CID2497434"""
47.526466,-44.0164,"""CNR4066631""","""CID5047469"""
78.10188,-36.646614,"""CNR5324323""","""CID6448833"""
81.42328,33.541183,"""CNR2970359""","""CID6274529"""
