is_outlier,anomaly_score,Booking ID,Customer ID
0,-0.4314367228755437,"""CNR5884300""","""CID1982111"""
0,-0.4304320871089171,"""CNR1326809""","""CID4604802"""
0,-0.40822329311039873,"""CNR8494506""","""CID9202816"""
0,-0.42113006258712543,"""CNR8906825""","""CID2610914"""
0,-0.4096537883241094,"""CNR1950162""","""CID9933542"""
0,-0.4603374283188219,"""CNR4096693""","""CID4670564"""
0,-0.453351323273513,"""CNR2002539""","""CID6800553"""
0,-0.4191594116296518,"""CNR6568000""","""CID8610436"""
0,-0.46363355422046176,"""CNR4510807""","""CID7873618"""
0,-0.5022291299197574,"""CNR7721892""","""CID5214275"""
0,-0.44985393033657967,"""CNR9070334""","""CID6680340"""
0,-0.39524952492840676,"""CNR9551927""","""CID7568143"""
1,-0.558226986175026,"""CNR4386945""","""CID5543520"""
0,-0.4051897983141584,"""CNR2987763""","""CID2669710"""
0,-0.4328229763629977,"""CNR8962232""","""CID1789354"""
0,-0.4272432746126171,"""CNR2390352""","""CID5432215"""
0,-0.41850679435075333,"""CNR3221338""","""CID2581698"""
0,-0.39861901947132056,"""CNR6739317""","""CID8682675"""
0,-0.4098004775038564,"""CNR6126048""","""CID1060329"""
0,-0.39972666200364304,"""CNR9465840""","""CID9046501"""
0,-0.4443010648574931,"""CNR9843229""","""CID4929303"""
0,-0.4535003720298502,"""CNR7911434""","""CID8465004"""
0,-0.4584651032150473,"""CNR6178330""","""CID7719678"""
0,-0.4056961365276954,"""CNR5309981""","""CID3870048"""
0,-0.4212845654471453,"""CNR2978950""","""CID2977484"""
0,-0.39028438130825494,"""CNR2806943""","""CID7550481"""
0,-0.4258305363545839,"""CNR3614535""","""CID2507102"""
0,-0.43529388894723314,"""CNR4499383""","""CID5717521"""
0,-0.4075363461234258,"""CNR9834201""","""CID7891331"""
0,-0.39052393346873765,"""CNR8779845""","""CID7444351"""
0,-0.4411923373047558,"""CNR2178654""","""CID3631860"""
0,-0.36901518227724156,"""CNR3871541""","""CID9849259"""
0,-0.4247337086520299,"""CNR2877692""","""CID5901711"""
0,-0.4623025709778296,"""CNR9603633""","""CID5856503"""
0,-0.4058552491170109,"""CNR8087051""","""CID9716528"""
0,-0.42022567081423795,"""CNR7823292""","""CID9377721"""
0,-0.4664556310547947,"""CNR9918895""","""CID9520433"""
0,-0.41144574524612737,"""CNR7401001""","""CID9958715"""
0,-0.44403528659468666,"""CNR2631310""","""CID4355670"""
0,-0.38049835726962805,"""CNR4218487""","""CID3037053"""
0,-0.4921527133322181,"""CNR5333099""","""CID5112050"""
0,-0.38933086573535375,"""CNR5969954""","""CID5558118"""
0,-0.4591653386747905,"""CNR4130953""","""CID3196782"""
0,-0.3727696366807681,"""CNR6693125""","""CID7364449"""
0,-0.4200356452414287,"""CNR9572979""","""CID3474992"""
0,-0.3851428387964426,"""CNR6444364""","""CID8262635"""
0,-0.537934089664976,"""CNR4862806""","""CID7875150"""
0,-0.37039907094832375,"""CNR4674790""","""CID4795905"""
0,-0.40705933390424937,"""CNR6866217""","""CID7798304"""
0,-0.468133244757782,"""CNR4932611""","""CID8795963"""
0,-0.3887108544223983,"""CNR1572483""","""CID6059557"""
0,-0.45506409792288466,"""CNR6945858""","""CID9079088"""
0,-0.4302645570273878,"""CNR6584679""","""CID4738537"""
0,-0.5277468225599439,"""CNR6125653""","""CID2808212"""
0,-0.43017169717113324,"""CNR6092529""","""CID5040634"""
0,-0.355466738736781,"""CNR6339107""","""CID7358763"""
0,-0.39256006849523883,"""CNR1349015""","""CID9386278"""
0,-0.43324718627049147,"""CNR9773309""","""CID9965847"""
0,-0.47454476437598264,"""CNR2107544""","""CID1266188"""
0,-0.4284418952265711,"""CNR4171959""","""CID8470723"""
0,-0.4382837079065895,"""CNR5316307""","""CID1816553"""
0,-0.45829215442471466,"""CNR3635865""","""CID6477355"""
0,-0.383434076767489,"""CNR2497989""","""CID5007066"""
0,-0.4743583524878421,"""CNR8946337""","""CID6438326"""
0,-0.4240821368073895,"""CNR3740694""","""CID5885514"""
0,-0.40866365513782243,"""CNR4660896""","""CID5486947"""
0,-0.4799273516650457,"""CNR2513330""","""CID7805280"""
0,-0.46319051218298035,"""CNR9252424""","""CID9413620"""
0,-0.495954720398751,"""CNR3096031""","""CID3101926"""
0,-0.4320253081890208,"""CNR4141159""","""CID6810411"""
0,-0.394671253214993,"""CNR6757829""","""CID8433663"""
0,-0.4021634022862124,"""CNR6204326""","""CID9419495"""
0,-0.4498476550630068,"""CNR3347993""","""CID4871438"""
0,-0.4387620446993928,"""CNR6796311""","""CID1880505"""
0,-0.4045952762006138,"""CNR3908312""","""CID8787746"""
0,-0.4096922191266365,"""CNR9416323""","""CID1025742"""
0,-0.4828303678696624,"""CNR2912296""","""CID8094609"""
0,-0.41323885945643873,"""CNR4611314""","""CID6968311"""
0,-0.37509095851230023,"""CNR2601752""","""CID9283370"""
0,-0.43947264995772073,"""CNR5793527""","""CID5705499"""
0,-0.3839914556557479,"""CNR4487090""","""CID1210782"""
0,-0.41712035942099074,"""CNR5266935""","""CID2831708"""
0,-0.39395486909036825,"""CNR1487489""","""CID3403699"""
0,-0.4166479524157421,"""CNR6351034""","""CID2038230"""
0,-0.4503527764034675,"""CNR7600870""","""CID7289498"""
0,-0.4030914819458112,"""CNR5444321""","""CID3326946"""
0,-0.42134312868012214,"""CNR8509610""","""CID8227993"""
0,-0.41254620542774945,"""CNR6851549""","""CID9560489"""
0,-0.4189320291903297,"""CNR3318044""","""CID4051792"""
0,-0.4855759213434953,"""CNR6453539""","""CID6999817"""
0,-0.3834412168522546,"""CNR7449144""","""CID8609350"""
0,-0.41818153206483216,"""CNR1970319""","""CID6085619"""
0,-0.45401932101913905,"""CNR4415815""","""CID8351180"""
0,-0.444284992621949,"""CNR3899082""","""CID5467225"""
0,-0.4008279201662992,"""CNR3274519""","""CID3829804"""
0,-0.3929925170655846,"""CNR3263958""","""CID3231090"""
0,-0.4027942004496575,"""CNR5822542""","""CID1628370"""
0,-0.40036899492551786,"""CNR9652983""","""CID4773175"""
0,-0.41613543768230515,"""CNR2598306""","""CID5704025"""
0,-0.4017935377544647,"""CNR3274827""","""CID3134967"""
0,-0.36220529087603515,"""CNR9139265""","""CID4003339"""
0,-0.4085722166520872,"""CNR8036415""","""CID9244184"""
0,-0.4156150759521694,"""CNR8433849""","""CID7659765"""
0,-0.5221147954661394,"""CNR2948784""","""CID7747807"""
0,-0.47271675513854783,"""CNR1996806""","""CID2293483"""
0,-0.5299365773246296,"""CNR6241612""","""CID5715130"""
0,-0.45016050321767737,"""CNR5222120""","""CID2370613"""
0,-0.4381432034632619,"""CNR6596872""","""CID2589193"""
0,-0.4084646416088056,"""CNR7149058""","""CID7341591"""
0,-0.44974712987901466,"""CNR5726463""","""CID3407189"""
0,-0.4395950063640305,"""CNR3975551""","""CID2944423"""
0,-0.43549081061273076,"""CNR8637930""","""CID8137475"""
0,-0.4051141390307405,"""CNR9935095""","""CID7359331"""
0,-0.48703936420939986,"""CNR8893726""","""CID8335294"""
0,-0.429065363235135,"""CNR3975051""","""CID5797043"""
