cluster,Booking ID,Customer ID
4,"""CNR7084849""","""CID5789841"""
9,"""CNR3159533""","""CID9810562"""
9,"""CNR4051549""","""CID9603664"""
4,"""CNR2248226""","""CID4255139"""
4,"""CNR8602446""","""CID2328492"""
9,"""CNR2561521""","""CID3709129"""
6,"""CNR1176276""","""CID9866805"""
4,"""CNR7733243""","""CID9648872"""
4,"""CNR2426571""","""CID7981656"""
9,"""CNR8284653""","""CID8822363"""
9,"""CNR7492154""","""CID5250942"""
4,"""CNR7399089""","""CID4851714"""
9,"""CNR4502021""","""CID1589558"""
6,"""CNR6664052""","""CID8718715"""
9,"""CNR6461402""","""CID6046779"""
9,"""CNR9693109""","""CID1959450"""
9,"""CNR9512364""","""CID1978444"""
4,"""CNR4675411""","""CID6184055"""
9,"""CNR7930149""","""CID1890931"""
4,"""CNR3203315""","""CID5528686"""
4,"""CNR2143313""","""CID7957552"""
9,"""CNR7708274""","""CID6808397"""
9,"""CNR7141164""","""CID1865705"""
4,"""CNR1754513""","""CID6741685"""
9,"""CNR1671313""","""CID3301576"""
9,"""CNR2007869""","""CID5633406"""
6,"""CNR9753024""","""CID8198556"""
9,"""CNR2245527""","""CID2024535"""
4,"""CNR7052278""","""CID9753475"""
6,"""CNR8370584""","""CID9284742"""
4,"""CNR1069520""","""CID3404698"""
4,"""CNR7675250""","""CID8546127"""
6,"""CNR8605682""","""CID9101268"""
4,"""CNR1493597""","""CID1993568"""
9,"""CNR3656053""","""CID1882858"""
6,"""CNR3071716""","""CID4995747"""
4,"""CNR6346329""","""CID3568871"""
9,"""CNR1623608""","""CID5629179"""
6,"""CNR7324289""","""CID8348020"""
6,"""CNR1213209""","""CID2975796"""
4,"""CNR4565851""","""CID2263382"""
9,"""CNR2204317""","""CID1318630"""
4,"""CNR6746752""","""CID1476368"""
9,"""CNR1237202""","""CID3932343"""
9,"""CNR8616833""","""CID2344321"""
6,"""CNR3903789""","""CID3333719"""
6,"""CNR3442899""","""CID2140931"""
4,"""CNR2617996""","""CID2390135"""
9,"""CNR9666035""","""CID6517150"""
6,"""CNR5947104""","""CID5910822"""
6,"""CNR9913132""","""CID5482137"""
4,"""CNR7015918""","""CID2838854"""
9,"""CNR4413575""","""CID7656386"""
4,"""CNR6826474""","""CID8885199"""
6,"""CNR5833632""","""CID7559630"""
6,"""CNR8113373""","""CID5042495"""
4,"""CNR2547329""","""CID6978740"""
4,"""CNR5202042""","""CID3118250"""
6,"""CNR3129642""","""CID5595153"""
6,"""CNR4261663""","""CID6751647"""
9,"""CNR5217431""","""CID2894118"""
4,"""CNR9927935""","""CID1864458"""
6,"""CNR2327616""","""CID7377755"""
6,"""CNR5563331""","""CID9962619"""
9,"""CNR2139424""","""CID8332049"""
6,"""CNR6086542""","""CID5619797"""
4,"""CNR7635779""","""CID7226292"""
9,"""CNR3240277""","""CID4942608"""
4,"""CNR9933110""","""CID2736878"""
4,"""CNR6849348""","""CID8024335"""
4,"""CNR6652834""","""CID1110427"""
4,"""CNR6168198""","""CID4298656"""
6,"""CNR7555199""","""CID5310889"""
9,"""CNR8048190""","""CID7264726"""
6,"""CNR3661360""","""CID4622535"""
6,"""CNR7690966""","""CID4310390"""
4,"""CNR2646605""","""CID2365885"""
4,"""CNR4759023""","""CID6125319"""
9,"""CNR6507520""","""CID2777705"""
9,"""CNR4664377""","""CID2374499"""
6,"""CNR2925013""","""CID4561148"""
9,"""CNR9930844""","""CID1141766"""
6,"""CNR2345185""","""CID3487599"""
9,"""CNR9169801""","""CID7946435"""
9,"""CNR6982304""","""CID5290982"""
6,"""CNR6147043""","""CID4035052"""
6,"""CNR3305760""","""CID5084730"""
4,"""CNR2505536""","""CID3245608"""
6,"""CNR2403680""","""CID6675903"""
6,"""CNR6296261""","""CID5634944"""
6,"""CNR6269995""","""CID8558374"""
6,"""CNR4298633""","""CID5176352"""
9,"""CNR5419852""","""CID5437093"""
4,"""CNR8377965""","""CID2505625"""
9,"""CNR1534683""","""CID7531712"""
9,"""CNR8252177""","""CID1224656"""
6,"""CNR8432339""","""CID6280957"""
4,"""CNR9204704""","""CID2618727"""
